Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9960079694237177 -31.39500000000019
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9920318751555576 -21.39499999999999
Score,Steps, Epsilon, Reward Acomulado:  5 400 0.9880716535772887 -10.900000000000071
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9841272413246489 -15.949999999999967
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.980198575286327 -36.34499999999997
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9762855926029546 -32.385000000000176
Score,Steps, Epsilon, Reward Acomulado:  0 400 0.9723882306660994 -69.81000000000009
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9685064271172623 -39.81000000000015
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9646401198468838 -23.474999999999994
Score,Steps, Epsilon, Reward Acomulado:  1 400 0.9607892469933452 -60.305000000000206
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9569537469419825 -16.44500000000004
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9531335583241021 -26.83999999999986
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9493286200159913 -23.870000000000008
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9455388711379469 -24.859999999999904
Score,Steps, Epsilon, Reward Acomulado:  2 400 0.9417642510533004 -47.335000000000065
Score,Steps, Epsilon, Reward Acomulado:  2 400 0.9380046993674448 -44.36500000000011
Score,Steps, Epsilon, Reward Acomulado:  4 400 0.9342601559268722 -26.839999999999993
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9305305608182091 -36.84
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9268158543672568 -35.85000000000001
Score,Steps, Epsilon, Reward Acomulado:  2 400 0.9231159771380392 -42.88000000000022
Score,Steps, Epsilon, Reward Acomulado:  5 400 0.9194308699318492 -3.4750000000000103
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.9157604737863031 -34.86000000000009
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.912104729974396 -26.939999999999984
Score,Steps, Epsilon, Reward Acomulado:  5 400 0.9084635800035663 5.92999999999993
Score,Steps, Epsilon, Reward Acomulado:  2 400 0.9048369656147537 -44.86000000000014
Score,Steps, Epsilon, Reward Acomulado:  2 400 0.9012248287814689 -46.840000000000195
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.8976271117088688 -30.405000000000236
Score,Steps, Epsilon, Reward Acomulado:  3 400 0.8940437568328268 -37.83000000000001
