2019-03-12 14:31:03,480 [1_agent_code] DEBUG: /n SCORE 3
2019-03-12 14:31:04,689 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:05,923 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:07,382 [1_agent_code] DEBUG: /n SCORE 4
2019-03-12 14:31:09,229 [1_agent_code] DEBUG: /n SCORE 3
2019-03-12 14:31:10,781 [1_agent_code] DEBUG: /n SCORE 3
2019-03-12 14:31:12,323 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:13,985 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:15,680 [1_agent_code] DEBUG: /n SCORE 0
2019-03-12 14:31:17,422 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:19,247 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:21,107 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:22,844 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:24,865 [1_agent_code] DEBUG: /n SCORE 4
2019-03-12 14:31:26,768 [1_agent_code] DEBUG: /n SCORE 3
2019-03-12 14:31:28,583 [1_agent_code] DEBUG: /n SCORE 3
2019-03-12 14:31:30,591 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:32,528 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:34,735 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:36,808 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:39,021 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:41,175 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:43,293 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:45,459 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:47,786 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:50,074 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:31:52,302 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:54,608 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:56,954 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:31:59,076 [1_agent_code] DEBUG: /n SCORE 2
2019-03-12 14:32:01,586 [1_agent_code] DEBUG: /n SCORE 0
2019-03-12 14:32:03,866 [1_agent_code] DEBUG: /n SCORE 1
2019-03-12 14:32:06,147 [1_agent_code] DEBUG: /n SCORE 1
